linkNumber,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
2,Nocciola,4.4/5 Stars,12:00 PM, 11:59 pm,"F11, Liberty Square Plaza, Shop 7, Plot 27, Islamabad, 44320 Islamabad",33.7215278,73.0512778,https://images.deliveryhero.io/image/fd-pk/LH/s7pm-hero.jpg,Islamabad
3,Gulshan's Cuisine,3.6/5 Stars,12:00 PM, 10:00 pm,"House 19 Street 124 G 13/4, islamabad, 44000 Islamabad",33.6482227,72.9687094,https://images.deliveryhero.io/image/fd-pk/LH/verp-hero.jpg,Islamabad
4,Austin's Pizzas,4.2/5 Stars,1:00 PM, 9:59 pm,"Shop #3, Street 124, G-13/4 Islamabad, Pakistan, 44000 Islamabad",33.6693034,73.00036045,https://images.deliveryhero.io/image/fd-pk/LH/n7sd-hero.jpg,Islamabad
5,Ping Pong,4.1/5 Stars,12:30 PM, 11:59 pm,"Shop no 2 , 1st floor , Plot no 2d ,  Ali market F11/1 , Near Ali Murtaaza Masjid,   Islamabad, 44000 Islamabad",33.6775852,72.9863511,https://images.deliveryhero.io/image/fd-pk/LH/w8uv-hero.jpg,Islamabad
6,Pizza Wala,4.1/5 Stars,1:00 PM, 11:59 pm,"Shop 11, Lower Ground Floor Al Hameed Plaza, G-11, 44000 Islamabad",33.66997,72.99943,https://images.deliveryhero.io/image/fd-pk/LH/n6dy-hero.jpg,Islamabad
7,Cafe Round II,4/5 Stars,3:30 PM, 11:59 pm,"Shop # 15, Ground Floor, Bizzon Plaza, F-11 Markaz, Islamabad, 45710 Islamabad",33.6833811,72.9877888,https://images.deliveryhero.io/image/fd-pk/LH/a6ep-hero.jpg,Islamabad
8,Desi Tarka,3.6/5 Stars,10:00 AM, 11:45 pm,"Street no 26A, House no 126, Ground Floor near Abdullah Heights, Islamabad, Pakistan., 44000 Islamabad",33.696906,72.9811648,https://images.deliveryhero.io/image/fd-pk/LH/ew7q-hero.jpg,Islamabad
11,Aik Bihari,3.7/5 Stars,12:00 PM, 11:59 pm,"Shop 20-21 Al-Ghaffar mall G-11 Markaz, 44000 Islamabad",33.66845,72.9987112,https://images.deliveryhero.io/image/fd-pk/LH/syth-hero.jpg,Islamabad
12,Desi Baithak,4.1/5 Stars,12:00 PM, 10:00 pm,"Basement hall, wilayat market, Street # 169, Sector G13/3 Islamabad, 44000 Islamabad",33.6570933,72.967293,https://images.deliveryhero.io/image/fd-pk/LH/qm1f-hero.jpg,Islamabad
13,Asian hut (URAN),4.8/5 Stars,2:45 PM, 8:30 pm,"flat no.8, 4th floor, Street no.26B, Hamid Apartment, E11/4, Islamabad, 44000 Islamabad",33.6971875,72.9797284,https://images.deliveryhero.io/image/fd-pk/LH/vjkt-hero.jpg,Islamabad
14,Granny's Tandoori,3.9/5 Stars,1:00 PM, 10:00 pm,"Shop 7,8 qadri arcade street 108 g13/1, 44000 Islamabad",33.645531,72.96434,https://images.deliveryhero.io/image/fd-pk/LH/n9mm-hero.jpg,Islamabad
15,Lokal Eatout F-11,4.2/5 Stars,12:00 PM, 11:59 pm,"Adjacent to Baramda,F-11 Markaz,Isb, 44000 Islamabad",33.685064,72.988326,https://images.deliveryhero.io/image/fd-pk/LH/t9xa-hero.jpg,Islamabad
16,Pizza Click,3.5/5 Stars,3:00 PM, 3:15 pm,"Sccon hill plaza ground floor shop 1
E 11/2 E-11, Islamabad, Islamabad Capital Territory, Pakistan, 44000 Islamabad",33.7012809,72.96839615,https://images.deliveryhero.io/image/fd-pk/LH/c3sv-hero.jpg,Islamabad
17,What a Deal,3.6/5 Stars,2:30 PM, 11:59 pm,"Location alghaffar mall shop no 48, 44000 Islamabad",33.66846945,72.99857195,https://images.deliveryhero.io/image/fd-pk/LH/m1pj-hero.jpg,Islamabad
18,ONE BITE BURGER & JUICES,3.7/5 Stars,12:30 PM, 11:59 pm,"onebiteburgerjuices@gmail.com Shop No.09, Lower Ground-Al-Gaffar Mall, Markaz G-11, Islamabad, 44000, 44000 Islamabad",33.6687661,72.9980676,https://images.deliveryhero.io/image/fd-pk/LH/it3v-hero.jpg,Islamabad
19,Nawab Foods,3.6/5 Stars,1:00 PM, 11:59 pm,"house no 311, street no, 74 G 11/2 Isb., 44000 Islamabad",33.669053,72.992457,https://images.deliveryhero.io/image/fd-pk/LH/o0fs-hero.jpg,Islamabad
20,Lahori Chaska Refreshment & Plao Kabab,3.9/5 Stars,10:00 AM, 11:59 pm,"Shop 1-2, Plaza no. 15, Ground Floor, near Lahori Chaska Restaurant, E-11/3 Markaz, 44000 Islamabad",33.704094,72.9793415,https://images.deliveryhero.io/image/fd-pk/LH/b6rb-hero.jpg,Islamabad
21,Hot & Spicy Chinese Cuisine G-11,4.5/5 Stars,2:00 PM, 11:30 pm,"Basement Shop number 9 Near Ali Baba Foods G-11 Markaz., 44000 Islamabad",33.66943,72.9990475,https://images.deliveryhero.io/image/fd-pk/LH/auyj-hero.jpg,Islamabad
22,Concepts Bakery,4.1/5 Stars,10:00 AM, 11:59 pm,"Main Service Road Near Marquees, E-11/4, Islamabad, 44000 Islamabad",33.6990846,72.98603435,https://images.deliveryhero.io/image/fd-pk/LH/v8tf-hero.jpg,Islamabad
23,PURBAASH,4.3/5 Stars,12:00 PM, 11:59 pm,"Shop 13 alrehmat plaza g11 markaz islamabad, 44000 Islamabad",33.6693611,73.0000833,https://images.deliveryhero.io/image/fd-pk/LH/cdua-hero.jpg,Islamabad
24,Elif Burger,3.6/5 Stars,6:00 PM, 11:59 pm,"Street 22, G-11/1 G 11/1 G-11, Islamabad, Islamabad Capital Territory, 44000 Islamabad",33.6646346,72.99012185,https://images.deliveryhero.io/image/fd-pk/LH/anaj-hero.jpg,Islamabad
25,The Midnight Pizza,4.1/5 Stars,2:00 PM, 11:59 pm,"Shop 16, First Floor, Liberty Square Plaza, Hilal Road, F11 Markaz, Islamabad, 44000 Islamabad",33.6840903,72.9863288,https://images.deliveryhero.io/image/fd-pk/LH/lfk2-hero.jpg,Islamabad
26,Sally's,4.4/5 Stars,12:00 PM, 11:59 pm,"1st Floor, Liberty Square, F-11 Markaz, Islamabad, 44000 Islamabad",33.6842091,72.9862172,https://images.deliveryhero.io/image/fd-pk/LH/pa1l-hero.jpg,Islamabad
